dataset,query_id,model,ndcg@10,recall@100,precision@10,reciprocal_rank,average_precision
nfcorpus,PLAIN-1008,bm25,0.0,0.0,0.0,0.0,0.0
nfcorpus,PLAIN-1018,bm25,0.4922818839877925,0.1333333333333333,0.6,0.3333333333333333,0.0690566378066378
nfcorpus,PLAIN-102,bm25,0.1486862453784489,0.0416666666666666,0.1,0.2,0.0129500652712666
nfcorpus,PLAIN-1028,bm25,0.0,0.0,0.0,0.0043290043290043,0.0043290043290043
nfcorpus,PLAIN-1039,bm25,1.0,1.0,0.2,1.0,1.0
nfcorpus,PLAIN-1050,bm25,0.0636207881989517,0.0106382978723404,0.1,0.1,0.001063829787234
nfcorpus,PLAIN-1066,bm25,0.0,0.0,0.0,0.0,0.0
nfcorpus,PLAIN-1088,bm25,0.5531464700081437,0.4,0.2,1.0,0.4
nfcorpus,PLAIN-1098,bm25,0.0,0.0,0.0,0.0,0.0
nfcorpus,PLAIN-1109,bm25,0.604685538711841,0.1224489795918367,0.5,1.0,0.0706649138704887
nfcorpus,PLAIN-1119,bm25,0.0,0.0,0.0,0.0,0.0
nfcorpus,PLAIN-112,bm25,0.4439982334711379,0.0892857142857142,0.2,1.0,0.0428907859105339
nfcorpus,PLAIN-1130,bm25,1.0,1.0,0.1,1.0,1.0
nfcorpus,PLAIN-1141,bm25,0.2200917662980801,0.1875,0.1,1.0,0.0796332052073945
nfcorpus,PLAIN-1151,bm25,0.2344065099232998,0.065359477124183,0.3,0.25,0.0137025911729214
nfcorpus,PLAIN-1161,bm25,0.0,0.0,0.0,0.0,0.0
nfcorpus,PLAIN-1172,bm25,0.2200917662980801,0.0526315789473684,0.1,1.0,0.0526315789473684
nfcorpus,PLAIN-1183,bm25,0.2895229882348574,0.08,0.2,1.0,0.05
nfcorpus,PLAIN-1193,bm25,0.0636207881989517,0.4444444444444444,0.1,0.1,0.0448646221191911
nfcorpus,PLAIN-12,bm25,0.0,0.1,0.0,0.0476190476190476,0.0049282715830428
nfcorpus,PLAIN-1203,bm25,0.3589542101716347,0.1666666666666666,0.2,1.0,0.1683673469387755
nfcorpus,PLAIN-1214,bm25,0.0,0.0,0.0,0.0,0.0
nfcorpus,PLAIN-1225,bm25,0.5363559634917963,0.3703703703703703,0.6,0.5,0.2105946522613189
nfcorpus,PLAIN-123,bm25,0.0298876143358893,0.0980392156862745,0.1,0.1428571428571428,0.0112416821088677
nfcorpus,PLAIN-1236,bm25,0.3391602052736161,0.2,0.1,1.0,0.2
nfcorpus,PLAIN-1249,bm25,0.0,0.0,0.0,0.0,0.0
nfcorpus,PLAIN-1262,bm25,0.3621108234757071,0.3,0.3,1.0,0.1678781552125513
nfcorpus,PLAIN-1275,bm25,0.4537425745411855,0.109090909090909,0.3,1.0,0.0686147186147186
nfcorpus,PLAIN-1288,bm25,0.7381919257729245,0.0510204081632653,0.7,1.0,0.0378821858413695
nfcorpus,PLAIN-1299,bm25,0.3052348839397011,0.0491803278688524,0.2,1.0,0.0283971219517327
nfcorpus,PLAIN-1309,bm25,0.0,0.0,0.0,0.0,0.0
nfcorpus,PLAIN-1320,bm25,0.4430895440946126,0.5,0.3,0.5,0.266657329598506
nfcorpus,PLAIN-133,bm25,0.0,0.0277777777777777,0.0,0.037037037037037,0.005269229697832
nfcorpus,PLAIN-1331,bm25,0.0,0.0,0.0,0.0,0.0
nfcorpus,PLAIN-1342,bm25,0.3909273842002216,0.3125,0.4,0.5,0.1575757575757575
nfcorpus,PLAIN-1353,bm25,0.0,0.0,0.0,0.0,0.0
nfcorpus,PLAIN-1363,bm25,0.2200917662980801,0.0909090909090909,0.1,1.0,0.0909090909090909
nfcorpus,PLAIN-1374,bm25,0.0783982689786753,0.1153846153846153,0.1,0.1666666666666666,0.0232269176745752
nfcorpus,PLAIN-1387,bm25,0.6569815082938862,0.6666666666666666,0.6,1.0,0.4729751729751729
